Lat,Lng,SubCategory,Distance to light
37.25643762,-121.8088116,COU-Couch/Sofa,0.01149
37.25644207,-121.8080107,COU-Couch/Sofa,0.0122909
37.25646145,-121.8052309,COU-Couch/Sofa,0.0019892
37.25684694,-121.8954626,COU-Couch/Sofa,0.0882425
37.25708862,-121.8064221,COU-Couch/Sofa,0.000798003
37.25727326,-121.8786104,COU-Couch/Sofa,0.0854929
37.25780616,-121.8829336,COU-Couch/Sofa,0.0898161
37.25795572,-121.8289463,COU-Couch/Sofa,0.0358288
37.25799098,-121.8260672,COU-Couch/Sofa,0.0329497
37.25842742,-121.8196876,COU-Couch/Sofa,0.0239896
37.25847357,-121.8119399,COU-Couch/Sofa,0.0317373
37.25857552,-121.8020158,COU-Couch/Sofa,0.0416614
37.25872594,-121.8836083,COU-Couch/Sofa,0.0399311
37.25886216,-121.8224816,COU-Couch/Sofa,0.0022975
37.2588697,-121.8213937,COU-Couch/Sofa,0.0033854
37.25888432,-121.8193579,COU-Couch/Sofa,0.0054212
37.25888432,-121.8193579,COU-Couch/Sofa,0.0054212
37.25888432,-121.8193579,COU-Couch/Sofa,0.0054212
37.25889599,-121.8128596,COU-Couch/Sofa,0.0119195
37.25899991,-121.8120941,COU-Couch/Sofa,0.0281781
37.25939914,-121.8622514,COU-Couch/Sofa,0.014907
37.26004942,-121.8048728,COU-Couch/Sofa,2.59E-06
37.26053505,-121.9183153,COU-Couch/Sofa,0.1134436
37.26082586,-121.8048665,COU-Couch/Sofa,8.01E-07
37.26111532,-121.8977611,COU-Couch/Sofa,0.0928938
37.2617424,-121.9314108,COU-Couch/Sofa,0.1289703
37.26186887,-121.7949267,COU-Couch/Sofa,4.50E-06
37.26293949,-121.8108772,COU-Couch/Sofa,0.0159532
37.263379,-121.8119951,COU-Couch/Sofa,0.1159552
37.263379,-121.8119951,COU-Couch/Sofa,0.1159552
37.26370726,-121.8099795,COU-Couch/Sofa,0.1179708
37.26384173,-121.8017247,COU-Couch/Sofa,0.1262256
37.26512515,-121.803066,COU-Couch/Sofa,0.1087793
37.26529956,-121.9132883,COU-Couch/Sofa,0.0314596
37.26615859,-121.8246064,COU-Couch/Sofa,0.0726853
37.26615859,-121.8246064,COU-Couch/Sofa,0.0726853
37.26615859,-121.8246064,COU-Couch/Sofa,0.0726853
37.26621562,-121.9027599,COU-Couch/Sofa,0.005468201
37.2662969,-121.7902764,COU-Couch/Sofa,0.1070153
37.26638493,-121.8214167,COU-Couch/Sofa,0.075875
37.26660034,-121.8260919,COU-Couch/Sofa,0.1053745
37.26661003,-121.9253921,COU-Couch/Sofa,0.0060743
37.26729236,-121.8066639,COU-Couch/Sofa,0.1248025
37.26805281,-121.925404,COU-Couch/Sofa,0.1034521
37.26805281,-121.925404,COU-Couch/Sofa,0.1034521
37.26813973,-121.8084327,COU-Couch/Sofa,0.0135192
37.26916004,-121.8676044,COU-Couch/Sofa,0.0592701
37.26920124,-121.9204926,COU-Couch/Sofa,0.1121583
37.26927717,-121.8597502,COU-Couch/Sofa,0.0514159
37.269379,-121.9403119,COU-Couch/Sofa,0.1319776
37.27038642,-121.8339746,COU-Couch/Sofa,0.0503952
